name,website,location,email,quality_score
Leanne Graham,hildegard.org,Gwenborough,leanne@hildegard.org,3
Ervin Howell,anastasia.net,Wisokyburgh,ervin@anastasia.net,3
Clementine Bauch,ramiro.info,McKenziehaven,clementine@ramiro.info,3
Patricia Lebsack,kale.biz,South Elvis,patricia@kale.biz,3
Chelsey Dietrich,demarco.info,Roscoeview,chelsey@demarco.info,3
Mrs. Dennis Schulist,ola.org,South Christy,mrs.@ola.org,3
Kurtis Weissnat,elvis.io,Howemouth,kurtis@elvis.io,3
Nicholas Runolfsdottir V,jacynthe.com,Aliyaview,nicholas@jacynthe.com,3
Glenna Reichert,conrad.com,Bartholomebury,glenna@conrad.com,3
Clementina DuBuque,ambrose.net,Lebsackbury,clementina@ambrose.net,3
